"w1","w2","w3","w4","w5","string","cats"
"quickly","water","john","chased","john","quickly water john chased john","adv mn pn tv pn"
"john","water","john","chased","john","john water john chased john","pn mn pn tv pn"
"yesterday","chased","john","chased","john","yesterday chased john chased john","sadv tv pn tv pn"
"quickly","chased","john","chased","john","quickly chased john chased john","adv tv pn tv pn"
"water","chased","john","chased","john","water chased john chased john","mn tv pn tv pn"
"john","chased","john","chased","john","john chased john chased john","pn tv pn tv pn"
"quickly","yesterday","barked","chased","john","quickly yesterday barked chased john","adv sadv itv tv pn"
"water","yesterday","barked","chased","john","water yesterday barked chased john","mn sadv itv tv pn"
"john","yesterday","barked","chased","john","john yesterday barked chased john","pn sadv itv tv pn"
"yesterday","quickly","barked","chased","john","yesterday quickly barked chased john","sadv adv itv tv pn"
"water","quickly","barked","chased","john","water quickly barked chased john","mn adv itv tv pn"
"john","quickly","barked","chased","john","john quickly barked chased john","pn adv itv tv pn"
"the","dog","barked","chased","john","the dog barked chased john","d cn itv tv pn"
"with","water","barked","chased","john","with water barked chased john","p mn itv tv pn"
"yesterday","water","barked","chased","john","yesterday water barked chased john","sadv mn itv tv pn"
"quickly","water","barked","chased","john","quickly water barked chased john","adv mn itv tv pn"
"john","water","barked","chased","john","john water barked chased john","pn mn itv tv pn"
"with","john","barked","chased","john","with john barked chased john","p pn itv tv pn"
"yesterday","john","barked","chased","john","yesterday john barked chased john","sadv pn itv tv pn"
"quickly","john","barked","chased","john","quickly john barked chased john","adv pn itv tv pn"
"water","john","barked","chased","john","water john barked chased john","mn pn itv tv pn"
"yesterday","chased","barked","chased","john","yesterday chased barked chased john","sadv tv itv tv pn"
"quickly","chased","barked","chased","john","quickly chased barked chased john","adv tv itv tv pn"
"water","chased","barked","chased","john","water chased barked chased john","mn tv itv tv pn"
"john","chased","barked","chased","john","john chased barked chased john","pn tv itv tv pn"
